organization,year,records,sector,method,grouped_sector,attack_category
VK,2016,171000000,web,hacked,Technology & IT Services,Hacked
VTech,2015,6400000,web,hacked,Technology & IT Services,Hacked
VW,2021,3300000,transport,hacked,Transport & Logistics,Hacked
Viacom,2017,3000000,web,hacked,Technology & IT Services,Hacked
ViewFines,2018,934000,transport,unknown,Transport & Logistics,Unknown
Virgin Media,2020,900000,retail,poor security,Retail & Consumer Services,Poor security/Misconfiguration
Virginia Prescription Monitoring Program,2009,531400,health ,hacked,Healthcare & Health Services,Hacked
Vision Direct,2018,16300,retail,hacked,Retail & Consumer Services,Hacked
Vodafone,2013,2000000,telecoms,inside job,Telecommunications,Inside job
Vårdguiden,2019,2700000,health ,poor security,Healthcare & Health Services,Poor security/Misconfiguration
Washington Post,2011,1270000,misc,hacked,Miscellaneous & Other,Hacked
Washington State Dpt of Licensing,2022,257000,government,hacked,Government & Public Services,Hacked
Washington State court system,2013,160000,government,hacked,Government & Public Services,Hacked
Waterly,2017,1000000,app,poor security,Miscellaneous & Other,Poor security/Misconfiguration
Wawa,2019,30000000,retail,hacked,Retail & Consumer Services,Hacked
Weebly,2016,43000000,web,hacked,Technology & IT Services,Hacked
Wendy's,2016,1025,retail,hacked,Retail & Consumer Services,Hacked
Whitepages,2019,18000000,web,hacked,Technology & IT Services,Hacked
WiFi Finder,2019,2000000,app,poor security,Miscellaneous & Other,Poor security/Misconfiguration
Wonga,2017,270000,finance,hacked,Financial Services,Hacked
World Check,2016,2200000,misc,poor security,Miscellaneous & Other,Poor security/Misconfiguration
Writerspace.com,2011,62000,web,hacked,Technology & IT Services,Hacked
Yahoo,2013,550000000,web,hacked,Technology & IT Services,Hacked
Yahoo,2017,32000000,web,hacked,Technology & IT Services,Hacked
Yahoo,2016,500000000,web,hacked,Technology & IT Services,Hacked
Yahoo Japan,2013,22000000,"tech, web",hacked,Technology & IT Services,Hacked
Yahoo Voices,2012,450000,"tech, web",hacked,Technology & IT Services,Hacked
Yale University,2011,43000,academic,unknown,Educational & Academic Services,Unknown
YouNow,2019,40000000,web,hacked,Technology & IT Services,Hacked
Zappos,2012,24000000,web,hacked,Technology & IT Services,Hacked
Zhenhua,2020,2400000,misc,unknown,Miscellaneous & Other,Unknown
Zomato,2017,17000000,web,hacked,Technology & IT Services,Hacked
Zoom,2020,500000,app,hacked,Miscellaneous & Other,Hacked
db8151dd,2020,22000000,web,hacked,Technology & IT Services,Hacked
ssndob.ms,2013,4000000,web,hacked,Technology & IT Services,Hacked
uTorrent ,2016,35000,web,hacked,Technology & IT Services,Hacked
